,id,sentence,subject_entity,object_entity,label,source
114,114,"2018년 7월 1일 CJ E&M을 합병하여 CJ ENM으로 사명을 변경하으며, 현재 CJ오쇼핑은 CJ ENM의 오쇼핑 사업부문을 통칭하는 브랜드로 축소되었다.","{'word': 'CJ E&M', 'start_idx': 12, 'end_idx': 17, 'type': 'ORG'}","{'word': 'CJ오쇼핑', 'start_idx': 48, 'end_idx': 52, 'type': 'ORG'}",no_relation,wikipedia
123,123,"1904년 7월 1일, ""툰-운트 스포트버라인 바이어 04 레버쿠젠"" (Turn- und Spielverein Bayer 04 Leverkusen)의 이름으로 창단되었다.","{'word': '툰-운트 스포트버라인 바이어 04 레버쿠젠', 'start_idx': 14, 'end_idx': 36, 'type': 'ORG'}","{'word': '1904년 7월 1일', 'start_idx': 0, 'end_idx': 10, 'type': 'DAT'}",org:founded,wikipedia
651,651,S★스파이시(S★Spicy)는 스타더스트 프로모션에 소속된 일본의 여성 아이돌 그룹이다.,"{'word': 'S★스파이시', 'start_idx': 0, 'end_idx': 5, 'type': 'ORG'}","{'word': '스타더스트 프로모션', 'start_idx': 17, 'end_idx': 26, 'type': 'ORG'}",org:member_of,wikipedia
780,780,"그 결과 SS-HA는 대폭 감축당했고 친위대 지도본부(SS-FHA), 국가보안본부(RSHA)만한 위세를 누리지는 못하게 되었다.","{'word': 'SS-FHA', 'start_idx': 30, 'end_idx': 35, 'type': 'ORG'}","{'word': '친위대 지도본부', 'start_idx': 21, 'end_idx': 28, 'type': 'ORG'}",org:alternate_names,wikipedia
889,889,KT&G(사장 백복인)가 궐련형 전자담배 ‘릴 하이브리드(lil HYBRID) 1.0’의 기능을 한층 업그레이드한 ‘릴 하이브리드 2.0’을 오는 10일 ‘릴 미니멀리움’ 8개소에서 처음으로 선보인다.,"{'word': 'KT&G', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '백복인', 'start_idx': 8, 'end_idx': 10, 'type': 'PER'}",org:top_members/employees,wikitree
1346,1346,SK플래닛 스타크래프트 프로리그 시즌1 3R에서 삼성 갤럭시 칸의 유병준 (현 나진 e-엠파이어 소속 리그 오브 레전드 프로게이머)을 잡고 공식전 데뷔 첫승을 거뒀으며 경기 후 세리머니가 화제가 되었다.,"{'word': '나진 e-엠파이어', 'start_idx': 44, 'end_idx': 52, 'type': 'ORG'}","{'word': '리그 오브 레전드', 'start_idx': 57, 'end_idx': 65, 'type': 'POH'}",no_relation,wikipedia
1414,1414,"이에 그는 2002년 여름 자국 리그의 MŠK 질리나로 이적을 선택하였고, 그해 슬로바키아 수페르리가 챔피언십에서 소속팀이 두 번째 우승컵을 들어올리는 데 결정적인 공헌을 하였다.","{'word': 'MŠK 질리나', 'start_idx': 22, 'end_idx': 28, 'type': 'ORG'}","{'word': '슬로바키아 수페르리가', 'start_idx': 45, 'end_idx': 55, 'type': 'POH'}",org:member_of,wikipedia
1465,1465,"2010년 1월부터 깃허브는 GitHub, Inc. 라는 이름으로 운영되고 있다.","{'word': 'GitHub, Inc.', 'start_idx': 16, 'end_idx': 27, 'type': 'ORG'}","{'word': '깃허브', 'start_idx': 11, 'end_idx': 13, 'type': 'POH'}",org:alternate_names,wikipedia
1508,1508,"한편, 마돈나는 스웨덴의 의류 도매 업체 H&M와 협력해 ""M by Madonna""라는 의류 라인을 개설했고 2006년부터 세계적으로 판매되기 시작했다.","{'word': 'H&M', 'start_idx': 23, 'end_idx': 25, 'type': 'ORG'}","{'word': '스웨덴', 'start_idx': 9, 'end_idx': 11, 'type': 'LOC'}",org:place_of_headquarters,wikipedia
1537,1537,"KT&G(사장 백복인)가 헤파(HEPA, High Efficiency Particulate Air) 소재 필터를 적용해 깔끔함을 강조한 ‘더원 스카이(THE ONE SKY)’를 선보인다고 18일 밝혔다.","{'word': 'KT&G', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '백복인', 'start_idx': 8, 'end_idx': 10, 'type': 'PER'}",org:top_members/employees,wikitree
2010,2010,2011년 9월 16일에는 부산-김해경전철주식회사에서 운영하는 부산-김해 경전철이 개통되었다.,"{'word': '부산-김해경전철', 'start_idx': 15, 'end_idx': 22, 'type': 'ORG'}","{'word': '2011년 9월 16일', 'start_idx': 0, 'end_idx': 11, 'type': 'DAT'}",no_relation,wikipedia
2167,2167,"여기에는 라우터, 자동화 컨트롤, 스마트 홈 기술(예: 구글 네스트), 텔레비전(삼성전자, LG전자의 스마트TV는 각각 타이젠과 웹OS를 사용함), 자동차(예: 테슬라, 아우디, 메르세데스-벤츠, 현대자동차, 도요타는 모두 리눅스에 의존함), 디지털 비디오 레코더, 비디오 게임기, 스마트워치가 포함된다.","{'word': '메르세데스-벤츠', 'start_idx': 100, 'end_idx': 107, 'type': 'ORG'}","{'word': '자동차', 'start_idx': 83, 'end_idx': 85, 'type': 'POH'}",no_relation,wikipedia
2418,2418,"이와는 달리 독일은 메르세데스-벤츠, BMW, 아우디, 폴크스바겐 등 세계적으로 유명한 특급 자동차 제조업체를 보유했음에도 수소전기차 분야에선 괄목할 만한 성과를 내지 못하고 있다.","{'word': '메르세데스-벤츠', 'start_idx': 11, 'end_idx': 18, 'type': 'ORG'}","{'word': '자동차 제조업', 'start_idx': 52, 'end_idx': 58, 'type': 'POH'}",no_relation,wikitree
3338,3338,"또 아랍에미리트연합(UAE) 샤르자(Sharjah) 대학의 모함마드 알리 압델카림(Mohammad Ali Abdelkareem) 교수·이나스 타하 사에드(Enas Taha Sayed) 교수, 사우디아라비아 카우스트(KAUST)대학 오바이드(M. Obaid) 박사, 이집트 미니아(Minia) 대학 히가지 레즈크(Hegazy Rezk) 교수가 함께 연구했다.","{'word': '샤르자(Sharjah) 대학', 'start_idx': 16, 'end_idx': 30, 'type': 'ORG'}","{'word': '아랍에미리트연합', 'start_idx': 2, 'end_idx': 9, 'type': 'LOC'}",org:place_of_headquarters,wikitree
3999,3999,"1682년, 다른 프랑스의 탐험가 르네-로베르 카블리에 드 라 살은 미시시피 강을 여행하고 미시시피 강 유역을 프랑스령으로 주장하였다. 라 살은 국왕 루이 14세의 명예를 기려 지방을 ""루이지애나""라고 이름을 지었다.","{'word': '르네-로베르 카블리에 드 라 살', 'start_idx': 19, 'end_idx': 35, 'type': 'PER'}","{'word': '탐험가', 'start_idx': 15, 'end_idx': 17, 'type': 'POH'}",per:title,wikipedia
4116,4116,바젤은 FC 로잔-스포르트와의 5월 9일 2009-10 스위스 컵 결승전 경기에도 6-0으로 승리하였다.,"{'word': 'FC 로잔-스포르트', 'start_idx': 4, 'end_idx': 13, 'type': 'ORG'}","{'word': '스위스', 'start_idx': 31, 'end_idx': 33, 'type': 'POH'}",org:member_of,wikipedia
4122,4122,"대한민국 기반의 걸그룹 f(x)는 크리스탈, 엠버, 빅토리아, 설리, 루나로 구성된 5인조 걸그룹으로 알려져 있었다.","{'word': 'f(x)', 'start_idx': 13, 'end_idx': 16, 'type': 'ORG'}","{'word': '빅토리아', 'start_idx': 29, 'end_idx': 32, 'type': 'PER'}",org:top_members/employees,wikipedia
4349,4349,지드래곤과 T.O.P의 유닛 GD&TOP에서도 볼 수 있듯이 빅뱅은 무대 위 '잘 노는 남자' 아이돌로서 따라 출 수 있는 포인트 안무를 내세우기 보다는 그들만의 개성을 살린 포스로 무대를 장악한다.,"{'word': 'GD&TOP', 'start_idx': 16, 'end_idx': 21, 'type': 'PER'}","{'word': 'T.O.P', 'start_idx': 6, 'end_idx': 10, 'type': 'PER'}",per:employee_of,wikipedia
4813,4813,"또, 2004년 8월 25일에, 칸쟈니∞로서 〈나니와이로하부시〉로 칸사이 한정으로 CD 데뷔해, 동년 9월 22일에 전국 데뷔한다.","{'word': '칸쟈니∞', 'start_idx': 18, 'end_idx': 21, 'type': 'ORG'}","{'word': '2004년 8월 25일', 'start_idx': 3, 'end_idx': 14, 'type': 'DAT'}",org:founded,wikipedia
4957,4957,"2011년 Rizzuto 연구진은 66%의 확률로 아크룩스가 전갈자리-센타우루스자리 성협 내 '아래쪽 센타우루스자리-남십자자리 서브그룹'(Lower Centaurus-Crux sub-group)의 일원일 것이라고 주장했는데, 종전에는 아크룩스가 이 성협의 구성원이 아닌 것으로 보았었다.","{'word': '아래쪽 센타우루스자리-남십자자리 서브그룹', 'start_idx': 53, 'end_idx': 74, 'type': 'ORG'}","{'word': 'Lower Centaurus-Crux sub-group', 'start_idx': 77, 'end_idx': 106, 'type': 'ORG'}",org:alternate_names,wikipedia
5011,5011,KT&G(사장 백복인)가 청년창업 지원 사업인 ‘상상스타트업캠프’ 4기 수료자들의 성과를 발표하는 ‘더 데뷔(THE DEBUT)’를 개최했다고 13일 밝혔다.,"{'word': 'KT&G', 'start_idx': 0, 'end_idx': 3, 'type': 'ORG'}","{'word': '백복인', 'start_idx': 8, 'end_idx': 10, 'type': 'PER'}",org:top_members/employees,wikitree
6082,6082,"앨범에는 에미넴,G-Unit,닥터드레,제이미 폭스 등이 참여하고,영국차트에서도 1위를 한다.","{'word': 'G-Unit', 'start_idx': 9, 'end_idx': 14, 'type': 'PER'}","{'word': '에미넴', 'start_idx': 5, 'end_idx': 7, 'type': 'PER'}",per:colleagues,wikipedia
6324,6324,'미지수'는 설리가 속해있던 그룹 '에프엑스(f(x)(x))'를 나타내며 포근한 이불은 종현 '하루의 끝' 가사에 등장한다.,"{'word': 'f(x)', 'start_idx': 25, 'end_idx': 28, 'type': 'ORG'}","{'word': '에프엑스', 'start_idx': 20, 'end_idx': 23, 'type': 'PER'}",org:alternate_names,wikitree
6740,6740,"이후 태연, 써니, 효연, 유리, 윤아로 소녀시대의 두번째 유닛 그룹 소녀시대-Oh!GG를 결성하였고, 9월 5일 첫 싱글 앨범 《몰랐니 (Lil' Touch)》를 발매했다.","{'word': 'Oh!', 'start_idx': 44, 'end_idx': 46, 'type': 'PER'}","{'word': '소녀시대', 'start_idx': 39, 'end_idx': 42, 'type': 'PER'}",no_relation,wikipedia
7011,7011,《더 빅 리유니언》의 성공을 계기로 B*Witched는 2013년 5월에 영국과 아일랜드를 오가는 아레나 투어 《The Big Reunion》에 참가했다.,"{'word': 'B*Witched', 'start_idx': 20, 'end_idx': 28, 'type': 'ORG'}","{'word': '아일랜드', 'start_idx': 45, 'end_idx': 48, 'type': 'LOC'}",no_relation,wikipedia
7649,7649,"도네츠크-크리보이로크 소비에트 공화국은 돈바스, 하르키우, 예카테리노슬라프 현, 헤르손 현을 포함한 우크라이나 인민공화국의 남부 영토의 소유권을 주장했다.","{'word': '도네츠크-크리보이로크 소비에트 공화국', 'start_idx': 0, 'end_idx': 19, 'type': 'ORG'}","{'word': '하르키우', 'start_idx': 27, 'end_idx': 30, 'type': 'LOC'}",org:members,wikipedia
7852,7852,"데뷔 미니앨범인 《MAMA》는 2012년 4월 8일에 발매되었고, EXO-M의 버전은 출시 하루만에 중국의 음악 차트 정상을 차지했으며, EXO-K의 《MAMA》 뮤직비디오는 유튜브의 글로벌 차트에서 7위를 기록했다.","{'word': 'EXO-M', 'start_idx': 37, 'end_idx': 41, 'type': 'PER'}","{'word': 'MAMA', 'start_idx': 85, 'end_idx': 88, 'type': 'POH'}",per:product,wikipedia
7911,7911,"10월, 지난 5월 자신의 전속계약 무효 소송을 접수한 EXO-M의 전 멤버 크리스에 이어 5개월 만에 멤버 루한은 소속사 측이 미래의 발전에 대한 비전을 제시하지 못했고, 이어 중국인 멤버 차별 대우, 불합리한 이익 분배, 고강도 스케줄 및 스트레스에 따른 건강 이상을 이유로 소속사의 SM 엔터테인먼트을 상대로 서울중앙지방법원에 전속계약 무효 소송을 제기했다.","{'word': 'EXO-M', 'start_idx': 31, 'end_idx': 35, 'type': 'PER'}","{'word': 'SM 엔터테인먼트', 'start_idx': 161, 'end_idx': 169, 'type': 'ORG'}",per:employee_of,wikipedia
7964,7964,"피에몬테, 롬바르디아, 트렌티노-알토 아디제, 베네토, 프리울리-베네치아 줄리아, 리구리아, 에밀리아, 로마냐, 토스카나, 움브리아, 마르케, 라치오, 아브루초, 몰리세, 캄파니아, 풀리아, 살렌토, 루카니아, 칼라브리아, 시칠리아, 사르데냐, 발레 다오스타로 정했다.","{'word': '프리울리-베네치아', 'start_idx': 31, 'end_idx': 39, 'type': 'PER'}","{'word': '베네토', 'start_idx': 26, 'end_idx': 28, 'type': 'PER'}",no_relation,wikipedia
9176,9176,"이 노래는 2013년 7월 29일 SM 엔터테인먼트에서 발매한 f(x)의 두번째 정규 음반 ""Pink Tape""에 트랙으로 수록되었다.","{'word': 'f(x)', 'start_idx': 35, 'end_idx': 38, 'type': 'ORG'}","{'word': 'SM 엔터테인먼트', 'start_idx': 19, 'end_idx': 27, 'type': 'ORG'}",org:member_of,wikipedia
9243,9243,"백복인 KT&G 사장은 “PMI의 글로벌 유통망과 마케팅 인프라는 월등한 수준이다. 이번 협업을 통해 세계적으로 KT&G 제품의 인지도와 이미지를 높이고, PMI의 인프라를 활용하는 것이 수익성 제고에도 효과적이라고 판단했다”고 말했다.","{'word': 'KT&G', 'start_idx': 4, 'end_idx': 7, 'type': 'ORG'}","{'word': '백복인', 'start_idx': 0, 'end_idx': 2, 'type': 'PER'}",org:top_members/employees,wikitree
9265,9265,현재 현대로템(주)는 현대자동차(주)가 최대주주로 43.36%의 지분을 보유하고 있다.,"{'word': '현대로템(주)', 'start_idx': 3, 'end_idx': 9, 'type': 'ORG'}","{'word': '현대자동차(주)', 'start_idx': 12, 'end_idx': 19, 'type': 'ORG'}",no_relation,wikipedia
9540,9540,"이는 SM 엔터테인먼트에서 2009년 9월 데뷔한 f(x)와 이전의 소녀시대 이후 5년 만에 선보이는 걸그룹이자, 4인조로 구성된 걸그룹이다.","{'word': 'f(x)', 'start_idx': 28, 'end_idx': 31, 'type': 'ORG'}","{'word': 'SM 엔터테인먼트', 'start_idx': 3, 'end_idx': 11, 'type': 'ORG'}",org:member_of,wikipedia
9590,9590,"이 선거에는 짐바브웨 아프리카 민족 연맹 - 애국 전선(여당)의 로버트 무가베 대통령과 민주변화운동 - 창기라이의 모건 창기라이, 무소속의 심바 마코니, 랭턴 토운가나 후보가 참여 하였다.","{'word': '민주변화운동 - 창기라이', 'start_idx': 49, 'end_idx': 61, 'type': 'ORG'}","{'word': '모건 창기라이', 'start_idx': 64, 'end_idx': 70, 'type': 'PER'}",org:top_members/employees,wikipedia
9766,9766,US-방글라 항공은 다카의 샤잘랄 국제공항에 본사를 둔 방글라데시 민간 항공사다.,"{'word': 'US-방글라 항공', 'start_idx': 0, 'end_idx': 8, 'type': 'ORG'}","{'word': '샤잘랄 국제공항', 'start_idx': 15, 'end_idx': 22, 'type': 'LOC'}",org:place_of_headquarters,wikipedia
10330,10330,도네츠크-크리보이로크 소비에트 공화국은 우크라이나에서 1918년 2월 12일 독립한 러시아 SFSR의 소비에트 공화국이다.,"{'word': '도네츠크-크리보이로크 소비에트 공화국', 'start_idx': 0, 'end_idx': 19, 'type': 'ORG'}","{'word': '1918년 2월 12일', 'start_idx': 30, 'end_idx': 41, 'type': 'DAT'}",org:founded,wikipedia
10636,10636,한국수자원공사[K-water] 포항권관리단에서 운영하고 있다.,"{'word': 'K-water', 'start_idx': 8, 'end_idx': 14, 'type': 'ORG'}","{'word': '한국수자원공사', 'start_idx': 0, 'end_idx': 6, 'type': 'ORG'}",org:alternate_names,wikipedia
10773,10773,5일(한국시각) 영국 브라이턴의 아멕스 스타디움에서 브라이턴 & 호브 앨비언과 토트넘의 프리미어리그 8라운드 경기가 열렸다.,"{'word': '브라이턴 & 호브 앨비언', 'start_idx': 29, 'end_idx': 41, 'type': 'ORG'}","{'word': '프리미어리그', 'start_idx': 49, 'end_idx': 54, 'type': 'ORG'}",org:member_of,wikitree
11137,11137,"특히, 홍콩 공연과 마카오 공연 때는 울림엔터테인먼트가 SM C&C로 흡수 합병되면서 SM C&C로 넘어온 테이스티가 오프닝 무대를 꾸며 화제가 되었다.","{'word': 'SM C&C', 'start_idx': 48, 'end_idx': 53, 'type': 'ORG'}","{'word': '울림엔터테인먼트', 'start_idx': 21, 'end_idx': 28, 'type': 'ORG'}",no_relation,wikipedia
11267,11267,"매각 대상에는 버스 차량 뿐만 아니라 영업권과 면허권까지 포함되었으며, 이를 계기로 금아버스그룹은 마창진권 시내버스의 운송법인으로 (주)마인버스를 설립하여 기존의 시민버스가 전담했던 일부 노선의 운영권을 승계하여 마창진 시내버스 공동배차에 전격 참여하게 되었다.","{'word': '(주)마인버스', 'start_idx': 73, 'end_idx': 79, 'type': 'ORG'}","{'word': '금아버스그룹', 'start_idx': 47, 'end_idx': 52, 'type': 'ORG'}",org:member_of,wikipedia
11466,11466,"예명인 k-os(/ˈkeɪ.ɒs/, [[카오스])로 더 잘 알려진 케빈 브레러턴 (Kevin Brereton) 은 [[캐나다|캐나다인] 랩퍼, 가수, 송라이터, 레코드 프로듀서이다.","{'word': 'k-os', 'start_idx': 4, 'end_idx': 7, 'type': 'PER'}","{'word': 'Kevin Brereton', 'start_idx': 46, 'end_idx': 59, 'type': 'PER'}",per:alternate_names,wikipedia
11530,11530,또한 2009년 컨스트럭터 챔피언십 우승을 차지했던 브론 GP는 독일의 자동차 기업 메르세데스-벤츠에 인수되어 메르세데스 GP가 되었다.,"{'word': '메르세데스-벤츠', 'start_idx': 47, 'end_idx': 54, 'type': 'ORG'}","{'word': '자동차', 'start_idx': 40, 'end_idx': 42, 'type': 'POH'}",org:product,wikipedia
11739,11739,"이번 결산 공연에서는 ‘레드벨벳(Red Velvet)’, 엑소 ‘첸(Chen)’, ‘10cm’, ‘pH-1(피에이치원)’, ‘김하온’, ‘범키(Bumkey)’, ‘노라조’ 등 다양한 장르의 핫한 아티스트들이 참여했다.","{'word': 'pH-1', 'start_idx': 55, 'end_idx': 58, 'type': 'ORG'}","{'word': '피에이치원', 'start_idx': 60, 'end_idx': 64, 'type': 'PER'}",org:alternate_names,wikitree
12175,12175,"1682년, 탐험가 르네-로베르 카블리에 드 라 살은 형재 콜로라도 동부를 포함한 지역에 대한 프랑스의 소유를 주장하였다.","{'word': '르네-로베르 카블리에 드 라 살', 'start_idx': 11, 'end_idx': 27, 'type': 'PER'}","{'word': '탐험가', 'start_idx': 7, 'end_idx': 9, 'type': 'POH'}",per:title,wikipedia
12416,12416,"태양과 지드래곤은 솔로 음반을 발표하고, 지드래곤과 T.O.P은 GD&TOP이라는 힙합 유닛을 결성하였으며 대성은 뮤지컬과 예능 프로그램 진행자로 활동하였고, T.O.P은 배우로 활동했다.","{'word': 'GD&TOP', 'start_idx': 36, 'end_idx': 41, 'type': 'PER'}","{'word': 'T.O.P', 'start_idx': 89, 'end_idx': 93, 'type': 'PER'}",per:employee_of,wikipedia
12477,12477,강진군은 24일 서울시 서초구에 위치한 동원F&B를 방문해 좋은 일자리 창출로 지역경제 활성화에 크게 기여한 동원F&B 김재옥 대표에게 감사패를 전달했다.,"{'word': '동원F&B', 'start_idx': 22, 'end_idx': 26, 'type': 'ORG'}","{'word': '김재옥', 'start_idx': 67, 'end_idx': 69, 'type': 'PER'}",org:top_members/employees,wikitree
12522,12522,"1997년에 DFB-리가포칼이 생기면서 흡수되었다가 2008년에 리가포칼이 폐지되면서 다시 독일 슈퍼컵이 부활하였으나 독일 축구 협회가 승인하지 않아 2008, 2009년 대회는 비공식 대회로 진행되었고 2010년에 정식으로 승인을 받으면서 독일의 공식 축구 대회로 인정받고 있다.","{'word': 'DFB-리가포칼', 'start_idx': 7, 'end_idx': 14, 'type': 'ORG'}","{'word': '1997년', 'start_idx': 0, 'end_idx': 4, 'type': 'DAT'}",org:founded,wikipedia
14004,14004,《4 Walls》는 2015년 10월 27일 SM 엔터테인먼트가 발매한 대한민국의 걸그룹 f(x)의 네 번째 정규 음반이다.,"{'word': 'f(x)', 'start_idx': 50, 'end_idx': 53, 'type': 'ORG'}","{'word': 'SM 엔터테인먼트', 'start_idx': 25, 'end_idx': 33, 'type': 'ORG'}",org:member_of,wikipedia
14418,14418,"작은 바위 담마 칙령 1호의 구자라본에서도 아쇼카의 이름은 그의 정식 명칭인 ""데바남피야 피야다시 아소카라자(Devanampiya Piyadasi Asokaraja)""와 함께 사용되고 있다.","{'word': '아소카라자(Devanampiya Piyadasi Asokaraja)', 'start_idx': 55, 'end_idx': 91, 'type': 'PER'}","{'word': '데바남피야 피야다시', 'start_idx': 44, 'end_idx': 53, 'type': 'PER'}",no_relation,wikipedia
15794,15794,"그 결과 SS-HA는 대폭 감축당했고 친위대 지도본부(SS-FHA), 국가보안본부(RSHA)만한 위세를 누리지는 못하게 되었다.","{'word': 'SS-HA', 'start_idx': 5, 'end_idx': 9, 'type': 'ORG'}","{'word': '친위대', 'start_idx': 21, 'end_idx': 23, 'type': 'ORG'}",no_relation,wikipedia
15836,15836,이후 쌍용차는 2009년 부터 기업회생절차를 거처서 2010년 11월에 매각 협상의 우성협상대상자인 인도의 자동차업체 마힌드라 & 마힌드라와 회사의 지분 70%를 가져가는 인수 협상을 채결하면서 2011년에 쌍용자동차의 기업회생절차가 종료된다.,"{'word': '마힌드라 & 마힌드라', 'start_idx': 66, 'end_idx': 76, 'type': 'ORG'}","{'word': '자동차', 'start_idx': 60, 'end_idx': 62, 'type': 'POH'}",no_relation,wikipedia
15854,15854,"부산-김해경전철운영 주식회사는 김해시와 부산교통공사, 서울교통공사가 공동으로 출자한 회사로, 부산교통공사가 부산 도시철도의 건설과 운영을 함께 하는 것과 달리 운영만을 일임하는 회사이다.","{'word': '부산-김해경전철운영', 'start_idx': 0, 'end_idx': 9, 'type': 'ORG'}","{'word': '서울교통공사', 'start_idx': 30, 'end_idx': 35, 'type': 'ORG'}",no_relation,wikipedia
15879,15879,대한민국은 2006년 기준으로 F-15E를 개량한 보잉 F-15K 슬램 이글을 도입 완료했다.,"{'word': '보잉 F-15K 슬램 이글', 'start_idx': 28, 'end_idx': 41, 'type': 'ORG'}","{'word': 'F-15E', 'start_idx': 17, 'end_idx': 21, 'type': 'POH'}",no_relation,wikipedia
16149,16149,"알렉세이 페트로비치 베스투제프 - 류민 백작(Aleksei Petrovich Bestuzhev-Ryumin, 율리우스력 1693년 5월 22일 - 율리우스력 1768년 4월 10일)는 제정 러시아의 정치인, 외교관, 귀족이다.","{'word': '알렉세이 페트로비치 베스투제프 - 류민 백작', 'start_idx': 0, 'end_idx': 23, 'type': 'PER'}","{'word': '정치인', 'start_idx': 111, 'end_idx': 113, 'type': 'POH'}",per:title,wikipedia
16270,16270,"카가미네 린·렌은 크립톤 퓨처 미디어가 2007년 12월 27일 별자리 염소자리를 발매한, 야마하의 보컬 음성합성 소프트웨어 VOCALOID2를 기반으로 한 소프트웨어 및 소프트웨어의 캐릭터를 가리킨다.","{'word': '카가미네 린·렌', 'start_idx': 0, 'end_idx': 7, 'type': 'PER'}","{'word': '2007년 12월 27일', 'start_idx': 22, 'end_idx': 34, 'type': 'DAT'}",per:date_of_birth,wikipedia
